DATE,USA,GBR,DEU,FRA,JPN,CAN,ESP,SWE
1950-01-01,,2,,,,,,
1950-04-01,,2,,,,,,
1950-07-01,,2,,,,,,
1950-10-01,,2,,,,,,
1951-01-01,,2,,,,,,
1951-04-01,,2,,,,,,
1951-07-01,,2,,,,,,
1951-10-01,,2.33,,,,,,
1952-01-01,,3,,,,,,
1952-04-01,,4,,,,,,
1952-07-01,,4,,,,,,
1952-10-01,,4,,,,,,
1953-01-01,,4,,,,,,
1953-04-01,,4,,,,,,
1953-07-01,,3.83,,,,,,
1953-10-01,,3.5,,,,,,
1954-01-01,,3.5,,,,,,
1954-04-01,,3.17,,,,,,
1954-07-01,1.03,3,,,,,,
1954-10-01,0.99,3,,,,,,
1955-01-01,1.34,4.17,,3.28,5.84,1.67,,2.75
1955-04-01,1.5,4.5,,3.19,5.84,1.5,,3.75
1955-07-01,1.94,4.5,,3,6.81,1.83,,3.75
1955-10-01,2.36,4.5,,2.99,7.3,2.58,,3.75
1956-01-01,2.48,5.17,,3.06,7.3,2.75,,3.75
1956-04-01,2.69,5.5,,3.02,7.3,3,,3.75
1956-07-01,2.81,5.5,,3,7.3,3.17,,3.75
1956-10-01,2.93,5.5,,3.55,7.3,3.69,,4
1957-01-01,2.93,5.17,,4.1,7.42,3.99,,4
1957-04-01,3,5,,5.78,8.16,4.01,,4
1957-07-01,3.23,5.67,,5.77,8.4,4.19,,5
1957-10-01,3.25,7,,5.72,8.4,3.9,,5
1958-01-01,1.86,6.67,,5.96,8.4,3.25,,5
1958-04-01,0.94,5.33,,7.51,8.16,1.79,,4.5
1958-07-01,1.32,4.67,,6.46,7.55,1.72,,4.5
1958-10-01,2.16,4.17,,6.07,7.3,3.24,,4.5
1959-01-01,2.57,4,,4.36,7.06,4.1,,4.5
1959-04-01,3.08,4,,3.67,6.94,5.25,,4.5
1959-07-01,3.58,4,,4.05,6.94,5.93,,4.5
1959-10-01,3.99,4,,4.07,7.06,5.24,,4.5
1960-01-01,3.93,5,3.9867,4.17,7.3,4.48,,5
1960-04-01,3.7,5.33,4.3067,4.15,7.3,3.44,,5
1960-07-01,2.94,6,5.0533,4.15,7.06,2.62,,5
1960-10-01,2.3,5.33,4.91,3.7,6.94,3.62,,5
1961-01-01,2,5,3.5967,3.7,6.57,3.35,,5
1961-04-01,1.73,5,2.8133,3.76,6.57,3.26,,5
1961-07-01,1.68,7,2.65,3.57,7.06,2.77,,5
1961-10-01,2.4,6.17,2.6667,3.58,7.3,2.86,,5
1962-01-01,2.46,5.67,2.2467,3.65,7.3,3.37,,5
1962-04-01,2.61,4.5,2.7667,3.59,7.3,4.37,,4
1962-07-01,2.85,4.5,2.8467,3.48,7.3,5.83,,4
1962-10-01,2.92,4.5,2.7867,3.51,6.69,4.33,,4
1963-01-01,2.97,4,2.9633,3.44,6.45,4,,3.5
1963-04-01,2.96,4,3.29,4.93,5.84,3.67,,4
1963-07-01,3.33,4,2.9,3.25,5.84,3.83,,4
1963-10-01,3.45,4,2.83,4.91,5.84,4,,4
1964-01-01,3.46,4.67,2.9233,5.06,6.08,4,,4.5
1964-04-01,3.49,5,3.34,4.86,6.57,4,,4.5
1964-07-01,3.46,5,3.5067,4.75,6.57,4,,4.5
1964-10-01,3.58,6.33,3.3833,4.18,6.57,4.17,,5
1965-01-01,3.97,7,3.3833,4.42,6.21,4.25,,5
1965-04-01,4.08,6.67,4.14,4.4,5.72,4.25,,5.5
1965-07-01,4.07,6,4.3067,3.81,5.48,4.25,,5.5
1965-10-01,4.17,6,4.5867,4.48,5.48,4.42,,5.5
1966-01-01,4.56,6,4.5533,4.55,5.48,4.92,,5.5
1966-04-01,4.91,6,5.5033,4.78,5.48,5.25,,6
1966-07-01,5.41,7,5.7133,4.6,5.48,5.25,,6
1966-10-01,5.56,7,5.5867,5.7,5.48,5.25,,6
1967-01-01,4.82,6.33,4.76,5,5.48,5.08,,5
1967-04-01,3.99,5.67,3.6433,4.5,5.48,4.5,,5
1967-07-01,3.89,5.5,2.66,4.31,5.6,4.67,,5
1967-10-01,4.17,7.33,2.33,4.76,5.84,5.67,,6
1968-01-01,4.79,7.83,2.6,5.08,6.21,7.17,,5.5
1968-04-01,5.98,7.5,2.7967,5.77,6.21,7.5,,5.5
1968-07-01,5.94,7.33,2.72,6.72,5.96,6.33,,5.5
1968-10-01,5.92,7,2.2533,8.25,5.84,6.17,,5
1969-01-01,6.57,7.67,3.4,8.18,5.84,6.67,,6
1969-04-01,8.33,8,3.0367,9.47,5.84,7.17,,6
1969-07-01,8.98,8,5.2333,9.4,5.98,8,,7
1969-10-01,8.94,8,7.5567,10.42,6.25,8,,7
